Location,Routing,Routing - Copy,Location - Copy,
"Reggio Calabria, Italy",REG,REG,"Reggio Calabria, Italy",
"Regina, SK",YQR,YQR,"Regina, SK",
"Rennell, Solomon Islands",RNL,RNL,"Rennell, Solomon Islands",
"Rennes, France",RNS,RNS,"Rennes, France",
"Reno, NV",RNO,RNO,"Reno, NV",
"Repulse Bay, NU",YUT,YUT,"Repulse Bay, NU",
"Resistencia, CW, Argentina",RES,RES,"Resistencia, CW, Argentina",
"Resolute, NU",YRB,YRB,"Resolute, NU",
"Reus, Spain and Canary Islands",REU,REU,"Reus, Spain and Canary Islands",
"Reykjavik, Iceland",KEF,KEF,"Reykjavik, Iceland",
"Reynossa, Mexico",REX,REX,"Reynossa, Mexico",
"Rhinelander, WI,",RHI,RHI,"Rhinelander, WI,",
"Rhodes, Gabon",RHO,RHO,"Rhodes, Gabon",
"Ribeirao Preto, SP, Brazil",RAO,RAO,"Ribeirao Preto, SP, Brazil",
"Riberalta, Bolivia",RIB,RIB,"Riberalta, Bolivia",
"Richards Bay, South Africa",RCB,RCB,"Richards Bay, South Africa",
"Richmond, QL, Australia",RCM,RCM,"Richmond, QL, Australia",
"Richmond, VA",RIC,RIC,"Richmond, VA",
"Riga, Latvia",RIX,RIX,"Riga, Latvia",
"Rigolet, NL",YRG,YRG,"Rigolet, NL",
"Rijeka, Croatia",RJK,RJK,"Rijeka, Croatia",
"Rimini, Italy",RMI,RMI,"Rimini, Italy",
"Rimouski, QC",YXK,YXK,"Rimouski, QC",
"Rio Branco, AC, Brazil",RBR,RBR,"Rio Branco, AC, Brazil",
"Rio Cuarto, CD, Argentina",RCU,RCU,"Rio Cuarto, CD, Argentina",
"Rio De Janeiro, RJ, Brazil",GIG,GIG,"Rio De Janeiro, RJ, Brazil",
"Rio Gallegos, Argentina - Internacional",RGL,RGL,"Rio Gallegos, Argentina - Internacional",
"Rio Grande, RS, Brazil",RIG,RIG,"Rio Grande, RS, Brazil",
"Rio Grande, TF, Argentina",RGA,RGA,"Rio Grande, TF, Argentina",
"Rio Mayo, CB, Argentina",ROY,ROY,"Rio Mayo, CB, Argentina",
"Rio Verde, GO, Brazil",RVD,RVD,"Rio Verde, GO, Brazil",
"Riohacha, Colombia",RCH,RCH,"Riohacha, Colombia",
"Rishiri, Japan",RIS,RIS,"Rishiri, Japan",
"Riverton, WY",RIW,RIW,"Riverton, WY",
"Riviere-a-Pierre, QC - Rail service",XRP,XRP,"Riviere-a-Pierre, QC - Rail service",
"Riyadh, Saudi Arabia",RUH,RUH,"Riyadh, Saudi Arabia",
"Riyan Mukalla, Yemen",RIY,RIY,"Riyan Mukalla, Yemen",
"Roane, France",RNE,RNE,"Roane, France",
"Roanoke, VA",ROA,ROA,"Roanoke, VA",
"Roatan, Honduras",RTB,RTB,"Roatan, Honduras",
"Roberval, QC",YRJ,YRJ,"Roberval, QC",
"Roch Gia, Viet Nam",VKG,VKG,"Roch Gia, Viet Nam",
"Roche Harbor, WA",RCE,RCE,"Roche Harbor, WA",
"Rochester, MN",RST,RST,"Rochester, MN",
"Rochester, NY",ROC,ROC,"Rochester, NY",
"Rock Sound, Bahamas",RSD,RSD,"Rock Sound, Bahamas",
"Rock Springs, WY",RKS,RKS,"Rock Springs, WY",
"Rockford, IL - Park&Ride Bus",ZRF,ZRF,"Rockford, IL - Park&Ride Bus",
"Rockford, IL - Van Galder Bus",ZRK,ZRK,"Rockford, IL - Van Galder Bus",
"Rockhampton, QL, Australia",ROK,ROK,"Rockhampton, QL, Australia",
"Rockland, ME",RKD,RKD,"Rockland, ME",
"Rodez, France",RDZ,RDZ,"Rodez, France",
"Rodrigues Island, Mauritius",RRG,RRG,"Rodrigues Island, Mauritius",
"Roervik, Norway",RVK,RVK,"Roervik, Norway",
"Rognan, Norway",ZXM,ZXM,"Rognan, Norway",
"Roma, QL, Australia",RMA,RMA,"Roma, QL, Australia",
"Rome, Italy - All airports",ROM,ROM,"Rome, Italy - All airports",
"Rome, Italy - Ciampino",CIA,CIA,"Rome, Italy - Ciampino",
"Rome, Italy - Leonardo Da Vinci/Fiumicino",FCO,FCO,"Rome, Italy - Leonardo Da Vinci/Fiumicino",
"Rongelap Island, Marshall Islands",RNP,RNP,"Rongelap Island, Marshall Islands",
"Ronneby, Sweden",RNB,RNB,"Ronneby, Sweden",
"Roros, Norway",RRS,RRS,"Roros, Norway",
"Rorutu, French Polynesia",RUR,RUR,"Rorutu, French Polynesia",
"Rosario, SF, Argentina",ROS,ROS,"Rosario, SF, Argentina",
"Rosario, WA",RSJ,RSJ,"Rosario, WA",
"Rosh Pina, Iceland",RPN,RPN,"Rosh Pina, Iceland",
"Rost, Norway",RET,RET,"Rost, Norway",
"Rostock-Laage, Germany",RLG,RLG,"Rostock-Laage, Germany",
"Rostov, Russia",ROV,ROV,"Rostov, Russia",
"Roswell, NM",ROW,ROW,"Roswell, NM",
"Rota, Northern Mariana Islands",ROP,ROP,"Rota, Northern Mariana Islands",
"Rotorua, New Zealand",ROT,ROT,"Rotorua, New Zealand",
"Rotterdam, Netherlands",RTM,RTM,"Rotterdam, Netherlands",
"Rouen, France",URO,URO,"Rouen, France",
"Round Lake, ON",ZRJ,ZRJ,"Round Lake, ON",
"Rouyn/Noranda, QC",YUY,YUY,"Rouyn/Noranda, QC",
"Rovaniemi, Finland",RVN,RVN,"Rovaniemi, Finland",
"Ruby, AK",RBY,RBY,"Ruby, AK",
"Russian Mission, AK",RSH,RSH,"Russian Mission, AK",
"Rutland, VT",RUT,RUT,"Rutland, VT",
"S. Cristobal del Casas, Mexico",SZT,SZT,"S. Cristobal del Casas, Mexico",
"Saarbruecken, Germany",QFZ,QFZ,"Saarbruecken, Germany",
"Sachigo Lake, ON",ZPB,ZPB,"Sachigo Lake, ON",
"Sachs Harbour, NT",YSY,YSY,"Sachs Harbour, NT",
"Sackville, NB - Rail service",XKV,XKV,"Sackville, NB - Rail service",
"Sacramento, CA",SMF,SMF,"Sacramento, CA",
"Saginaw, MI",MBS,MBS,"Saginaw, MI",
"Saint Cloud, MN",STC,STC,"Saint Cloud, MN",
"Saint Croix, U.S. Virgin Islands",STX,STX,"Saint Croix, U.S. Virgin Islands",
"Saint George Island, AK",STG,STG,"Saint George Island, AK",
"Saint George, UT",SGU,SGU,"Saint George, UT",
"Saint Hyacinthe, QC - Rail service",XIM,XIM,"Saint Hyacinthe, QC - Rail service",
"Saint John, NB",YSJ,YSJ,"Saint John, NB",
"Saint Johns, NL",YYT,YYT,"Saint Johns, NL",
"Saint Leonard, NB",YSL,YSL,"Saint Leonard, NB",
"Saint Louis, MO",STL,STL,"Saint Louis, MO",
"Saint Lucia, ST. LUCIA",SLU,SLU,"Saint Lucia, ST. LUCIA",
"Saint Maarten, Netherlands Antilles",SXM,SXM,"Saint Maarten, Netherlands Antilles",
"Saint Mary's, AK",KSM,KSM,"Saint Mary's, AK",
"Saint Michael, AK",SMK,SMK,"Saint Michael, AK",
"Saint Paul Island, AK",SNP,SNP,"Saint Paul Island, AK",
"Saint Petersburg, Russia - Pulkovo",LED,LED,"Saint Petersburg, Russia - Pulkovo",
"Saint Thomas, U.S. Virgin Islands",STT,STT,"Saint Thomas, U.S. Virgin Islands",
"Saint Tropez, France",XPZ,XPZ,"Saint Tropez, France",
"Saint Tropez, France - La Mole",LTT,LTT,"Saint Tropez, France - La Mole",
"Saipan, Northern Mariana Islands",SPN,SPN,"Saipan, Northern Mariana Islands",
"Sakon Nakhon, Thailand",SNO,SNO,"Sakon Nakhon, Thailand",
"Salehard, Russia",SLY,SLY,"Salehard, Russia",
"Salem, OR",SLE,SLE,"Salem, OR",
"Salina, KS",SLN,SLN,"Salina, KS",
"Salisbury-Ocean City, MD",SBY,SBY,"Salisbury-Ocean City, MD",
"Salluit, QC",YZG,YZG,"Salluit, QC",
"Salt Cay, Turks and Caicos Islands",SLX,SLX,"Salt Cay, Turks and Caicos Islands",
"Salt Lake City, UT",SLC,SLC,"Salt Lake City, UT",
"Saltillo, Mexico",SLW,SLW,"Saltillo, Mexico",
"Salvadore, BA, Brazil",SSA,SSA,"Salvadore, BA, Brazil",
"Salzburg, Austria",SZG,SZG,"Salzburg, Austria",
"Samara, Russia",KUF,KUF,"Samara, Russia",
"Sambaua, Madagascar",SVB,SVB,"Sambaua, Madagascar",
"Samburu, Kenya",UAS,UAS,"Samburu, Kenya",
"Samos, Greece",SMI,SMI,"Samos, Greece",
"San Andres Island, Colombia",ADZ,ADZ,"San Andres Island, Colombia",
"San Angelo, TX",SJT,SJT,"San Angelo, TX",
"San Antonio Oesta, RN, Argentina",OES,OES,"San Antonio Oesta, RN, Argentina",
"San Antonio, TX",SAT,SAT,"San Antonio, TX",
"San Antonio, Venezuela",SVZ,SVZ,"San Antonio, Venezuela",
"San Carlos, Argentina",BRC,BRC,"San Carlos, Argentina",
"San Diego, CA",SAN,SAN,"San Diego, CA",
"San Francisco, CA",SFO,SFO,"San Francisco, CA",
"San Jose, CA",SJC,SJC,"San Jose, CA",
"San Jose, Costa Rica - Juan Santa Maria",SJO,SJO,"San Jose, Costa Rica - Juan Santa Maria",
"San Jose, Costa Rica - Tobias Bolanos Int'l",SYQ,SYQ,"San Jose, Costa Rica - Tobias Bolanos Int'l",
"San Juan, Puerto Rico",SJU,SJU,"San Juan, Puerto Rico",
"San Juan, Puerto Rico",SJU,SJU,"San Juan, Puerto Rico",
"San Juan, SJ, Argentina",UAQ,UAQ,"San Juan, SJ, Argentina",
"San Julian, SC, Argentina",ULA,ULA,"San Julian, SC, Argentina",
"San Luis Obispo, CA",SBP,SBP,"San Luis Obispo, CA",
"San Luis Potosi, Mexico",SLP,SLP,"San Luis Potosi, Mexico",
"San Luis, SL, Argentina",LUQ,LUQ,"San Luis, SL, Argentina",
"San Marino, San Marino",SAI,SAI,"San Marino, San Marino",
"San Martin De Los Andes, Argentina",CPC,CPC,"San Martin De Los Andes, Argentina",
"San Miguel, Panama",NMG,NMG,"San Miguel, Panama",
"San Pedro Sula, Honduras",SAP,SAP,"San Pedro Sula, Honduras",
"San Rafael, Argentina",AFA,AFA,"San Rafael, Argentina",
"San Salvador, Bahamas",ZSA,ZSA,"San Salvador, Bahamas",
"San Salvador, El Salvador",SAL,SAL,"San Salvador, El Salvador",
"San Sebastian, Spain",EAS,EAS,"San Sebastian, Spain",
"Sana'a, Yemen",SAH,SAH,"Sana'a, Yemen",
"Sand Point, AK",SDP,SDP,"Sand Point, AK",
"Sanday, United Kingdom",NDY,NDY,"Sanday, United Kingdom",
"Sandy Lake, ON",ZSJ,ZSJ,"Sandy Lake, ON",
"Sanford, FL",SFB,SFB,"Sanford, FL",
"Sanikiluaq, NU",YSK,YSK,"Sanikiluaq, NU",
"Santa Ana, CA",SNA,SNA,"Santa Ana, CA",
"Santa Ana, Solomon Islands",NNB,NNB,"Santa Ana, Solomon Islands",
"Santa Barbara, CA",SBA,SBA,"Santa Barbara, CA",
"Santa Barbara, Ed, Venezuela",STB,STB,"Santa Barbara, Ed, Venezuela",
"Santa Cruz De La Palma, Spain and Canary Islands - La Palma",SPC,SPC,"Santa Cruz De La Palma, Spain and Canary Islands - La Palma",
"Santa Cruz, Bolivia",VVI,VVI,"Santa Cruz, Bolivia",
"Santa Fe, NM",SAF,SAF,"Santa Fe, NM",
"Santa Maria, Brazil",RIA,RIA,"Santa Maria, Brazil",
"Santa Maria, CA",SMX,SMX,"Santa Maria, CA",
"Santa Maria, Portugal",SMA,SMA,"Santa Maria, Portugal",
"Santa Marta, Colombia",SMR,SMR,"Santa Marta, Colombia",
"Santa Rosa, CA",STS,STS,"Santa Rosa, CA",
"Santa Rosa, LP, Argentina",RSA,RSA,"Santa Rosa, LP, Argentina",
"Santarem, PA, Brazil",STM,STM,"Santarem, PA, Brazil",
"Sante Marie, Madagascar",SMS,SMS,"Sante Marie, Madagascar",
"Santiago, Chile",SCL,SCL,"Santiago, Chile",
"Santiago, Dominican Republic",STI,STI,"Santiago, Dominican Republic",
"Santo Angelo, Brazil",GEL,GEL,"Santo Angelo, Brazil",
"Santo Antao, Cape Verde",NTO,NTO,"Santo Antao, Cape Verde",
"Santo Domingo, Dominican Republic - Herrera",HEX,HEX,"Santo Domingo, Dominican Republic - Herrera",
"Santo Domingo, Dominican Republic - Las Americas",SDQ,SDQ,"Santo Domingo, Dominican Republic - Las Americas",
"Santo Domingo, Venezuela",STD,STD,"Santo Domingo, Venezuela",
"Sanya, China",SYX,SYX,"Sanya, China",
"Sao Nicolau, Cape Verde",SNE,SNE,"Sao Nicolau, Cape Verde",
"Sao Paulo, Brazil - Congonhas",CGH,CGH,"Sao Paulo, Brazil - Congonhas",
"Sao Paulo, Brazil - Guarulhos Intl",GRU,GRU,"Sao Paulo, Brazil - Guarulhos Intl",
"Sao Paulo, Brazil - Viracopos",VCP,VCP,"Sao Paulo, Brazil - Viracopos",
"Sao Tome Is., Sao Tome and Principe",TMS,TMS,"Sao Tome Is., Sao Tome and Principe",
"Sao Vicente, Cape Verde",VXE,VXE,"Sao Vicente, Cape Verde",
"Sapporo, Japan - Chitose",CTS,CTS,"Sapporo, Japan - Chitose",
"Sapporo, Japan - Okadama",OKD,OKD,"Sapporo, Japan - Okadama",
"Sara, Vanuatu",SSR,SSR,"Sara, Vanuatu",
"Saranac Lake, NY",SLK,SLK,"Saranac Lake, NY",
"Sarasota, FL",SRQ,SRQ,"Sarasota, FL",
"Saratov, Russia",RTW,RTW,"Saratov, Russia",
"Sarmi, Indonesia",ZRM,ZRM,"Sarmi, Indonesia",
"Sarnia, ON",YZR,YZR,"Sarnia, ON",
"Sarnia, ON - Rail service",XDX,XDX,"Sarnia, ON - Rail service",
"Saskatoon, SK",YXE,YXE,"Saskatoon, SK",
"Satu Mare, Romania",SUJ,SUJ,"Satu Mare, Romania",
"Satwag, Papua New Guinea",SWG,SWG,"Satwag, Papua New Guinea",
"Sau Luiz, MA, Brazil",SLZ,SLZ,"Sau Luiz, MA, Brazil",
"Sault Ste Marie, MI,",CIU,CIU,"Sault Ste Marie, MI,",
"Sault Ste-Marie, ON",YAM,YAM,"Sault Ste-Marie, ON",
"Saumlaki, Indonesia",SXK,SXK,"Saumlaki, Indonesia",
"Savannah, GA",SAV,SAV,"Savannah, GA",
"Savannakhet, Laos",ZVK,ZVK,"Savannakhet, Laos",
"Savonlinna, Finland",SVL,SVL,"Savonlinna, Finland",
"Savoonga, AK",SVA,SVA,"Savoonga, AK",
"Savusavu, Fiji",SVU,SVU,"Savusavu, Fiji",
"Sayaboury, Laos",ZBY,ZBY,"Sayaboury, Laos",
"Scammon Bay, AK",SCM,SCM,"Scammon Bay, AK",
"Schefferville, QC",YKL,YKL,"Schefferville, QC",
"Scottsbluff, NE",BFF,BFF,"Scottsbluff, NE",
"Scranton, PA",AVP,AVP,"Scranton, PA",
"Seattle, WA - Lake Union SPB",LKE,LKE,"Seattle, WA - Lake Union SPB",
"Seattle, WA - Seattle/Tacoma International",SEA,SEA,"Seattle, WA - Seattle/Tacoma International",
"Sege, Solomon Islands",EGM,EGM,"Sege, Solomon Islands",
"Seiyun, Yemen",GXF,GXF,"Seiyun, Yemen",
"Selawik, AK",WLK,WLK,"Selawik, AK",
"Selje, Norway",QFK,QFK,"Selje, Norway",
"Semarang, Indonesia",SRG,SRG,"Semarang, Indonesia",
"Senggo, Indonesia",ZEG,ZEG,"Senggo, Indonesia",
"Senneterre, QC - Rail service",XFK,XFK,"Senneterre, QC - Rail service",
"Seoul, South Korea - All Airports",SEL,SEL,"Seoul, South Korea - All Airports",
"Seoul, South Korea - Gimpo International",GMP,GMP,"Seoul, South Korea - Gimpo International",
"Seoul, South Korea - Incheon International",ICN,ICN,"Seoul, South Korea - Incheon International",
"Sept-Iles, QC",YZV,YZV,"Sept-Iles, QC",
"Servi, Indonesia",ZRI,ZRI,"Servi, Indonesia",
"Sesriem, Namibia",SZM,SZM,"Sesriem, Namibia",
"Sevilla, Spain and Canary Islands",SVQ,SVQ,"Sevilla, Spain and Canary Islands",
"Seward, AK",SWD,SWD,"Seward, AK",
"Shageluk, AK",SHX,SHX,"Shageluk, AK",
"Shaktoolik, AK",SKK,SKK,"Shaktoolik, AK",
"Shamattawa, MB",ZTM,ZTM,"Shamattawa, MB",
"Shanghai, China",PVG,PVG,"Shanghai, China",
"Shannon, Ireland",SNN,SNN,"Shannon, Ireland",
"Shantou, China",SWA,SWA,"Shantou, China",
"Sharm El Sheikh, Egypt",SSH,SSH,"Sharm El Sheikh, Egypt",
"Shawinigan, QC - Rail service",XFL,XFL,"Shawinigan, QC - Rail service",
"Shawnigan, BC - Rail service",XFM,XFM,"Shawnigan, BC - Rail service",
"Sheffield, United Kingdom",SZD,SZD,"Sheffield, United Kingdom",
"Sheffield/Florence/Muscle Shoals, AL",MSL,MSL,"Sheffield/Florence/Muscle Shoals, AL",
"Sheldon Point, AK",SXP,SXP,"Sheldon Point, AK",
"Shenzhen, China",SZX,SZX,"Shenzhen, China",
"Sheridan, WY",SHR,SHR,"Sheridan, WY",
"Shetland Islands, United Kingdom - Lerwick/Tingwall",LWK,LWK,"Shetland Islands, United Kingdom - Lerwick/Tingwall",
"Shetland Islands, United Kingdom - Sumburgh",LSI,LSI,"Shetland Islands, United Kingdom - Sumburgh",
"Shillavo, Ethiopia",HIL,HIL,"Shillavo, Ethiopia",
"Shimkent, Kazakhstan",CIT,CIT,"Shimkent, Kazakhstan",
"Shiraz, Iran",SYZ,SYZ,"Shiraz, Iran",
"Shishmaref, AK",SHH,SHH,"Shishmaref, AK",
"Shonai, Japan",SYO,SYO,"Shonai, Japan",
"Shreveport, LA",SHV,SHV,"Shreveport, LA",
"Shungnak, AK",SHG,SHG,"Shungnak, AK",
"Shute Harbor, Australia",JHQ,JHQ,"Shute Harbor, Australia",
"Siem Reap, Cambodia",REP,REP,"Siem Reap, Cambodia",
"Silchar, India",IXS,IXS,"Silchar, India",
"Silver City, NM",SVC,SVC,"Silver City, NM",
"Simao, China",SYM,SYM,"Simao, China",
"Sinak, Indonesia",NKD,NKD,"Sinak, Indonesia",
"Singapore, Singapore - Changi",SIN,SIN,"Singapore, Singapore - Changi",
"Singapore, Singapore - Seletar",XSP,XSP,"Singapore, Singapore - Seletar",
"Sintang, Indonesia",SQG,SQG,"Sintang, Indonesia",
"Sioux City, IA",SUX,SUX,"Sioux City, IA",
"Sioux Falls, SD",FSD,FSD,"Sioux Falls, SD",
"Sioux Lookout, ON",YXL,YXL,"Sioux Lookout, ON",
"Sisimiut, Greenland",JHS,JHS,"Sisimiut, Greenland",
"Sitka, AK",SIT,SIT,"Sitka, AK",
"Sittwe, Myanmar",AKY,AKY,"Sittwe, Myanmar",
"Sivas, Turkey",VAS,VAS,"Sivas, Turkey",
"Skagway, AK",SGY,SGY,"Skagway, AK",
"Skiathos, Greece",JSI,JSI,"Skiathos, Greece",
"Skopie, Macedonia",FYROM,FYROM,"Skopie, Macedonia",
"Skovde, Sweden",KVB,KVB,"Skovde, Sweden",
"Skukuza, South Africa",SZK,SZK,"Skukuza, South Africa",
"Sleetmore, AK",SLQ,SLQ,"Sleetmore, AK",
"Sligo, Ireland",SXL,SXL,"Sligo, Ireland",
"Smith Falls, ON",YSH,YSH,"Smith Falls, ON",
"Smithers, BC",YYD,YYD,"Smithers, BC",
"Snare Lake, NT",YFJ,YFJ,"Snare Lake, NT",
"Soalala, Madagascar",DWB,DWB,"Soalala, Madagascar",
"Soderham, Sweden",SOO,SOO,"Soderham, Sweden",
"Sofia, Bulgaria",SOF,SOF,"Sofia, Bulgaria",
"Sognolal, Norway",SOG,SOG,"Sognolal, Norway",
"Solo City, Indonesia",SOC,SOC,"Solo City, Indonesia",
"Son-La, Viet Nam - Na-San",SQH,SQH,"Son-La, Viet Nam - Na-San",
"Sorkjosen, Norway",SOJ,SOJ,"Sorkjosen, Norway",
"Sorocaba, Brazil",SOD,SOD,"Sorocaba, Brazil",
"South Andros, Bahamas",TZN,TZN,"South Andros, Bahamas",
"South Bend, IN",SBN,SBN,"South Bend, IN",
"South Caicos, Turks and Caicos Islands",XSC,XSC,"South Caicos, Turks and Caicos Islands",
"South Hampton, United Kingdom",SOU,SOU,"South Hampton, United Kingdom",
"South Indian Lake, MB",XSI,XSI,"South Indian Lake, MB",
"South Molle Island, QL, Australia",SOI,SOI,"South Molle Island, QL, Australia",
"South Naknek, AK",WSN,WSN,"South Naknek, AK",
"Southern Pines, NC",SOP,SOP,"Southern Pines, NC",
"Spartanburg/Greenville, SC",GSP,GSP,"Spartanburg/Greenville, SC",
"Split, Croatia",SPU,SPU,"Split, Croatia",
"Spokane, WA",GEG,GEG,"Spokane, WA",
"Spring Point, Bahamas",AXP,AXP,"Spring Point, Bahamas",
"Springfield, IL",SPI,SPI,"Springfield, IL",
"Springfield, MO",SGF,SGF,"Springfield, MO",
"Srinagar, India",SXR,SXR,"Srinagar, India",
"St Anthony, NL",YAY,YAY,"St Anthony, NL",
"St Catharines, ON",YCM,YCM,"St Catharines, ON",
"St Denis de la Reunion, Reunion",RUN,RUN,"St Denis de la Reunion, Reunion",
"St Kitts, St Kitts and Nevis",SKB,SKB,"St Kitts, St Kitts and Nevis",
"St Marys, ON - Rail service",XIO,XIO,"St Marys, ON - Rail service",
"St Petersburg/Clearwater, FL",PIE,PIE,"St Petersburg/Clearwater, FL",
"St Pierre, St Pierre and Miquelon",FSP,FSP,"St Pierre, St Pierre and Miquelon",
"St Vincent, Saint Vincent and the Grenadines",SVD,SVD,"St Vincent, Saint Vincent and the Grenadines",
"St. Croix Island, U.S. Virgin Islands",STX,STX,"St. Croix Island, U.S. Virgin Islands",
"St. Etienne, France",EBU,EBU,"St. Etienne, France",
"St. Eustatius, Netherlands Antilles",EUX,EUX,"St. Eustatius, Netherlands Antilles",
"St. Lucia, St. Lucia",UVF,UVF,"St. Lucia, St. Lucia",
"St. Lucia, St. Lucia - Hawnorra",UVF,UVF,"St. Lucia, St. Lucia - Hawnorra",
"St. Petersburg, Russia",LED,LED,"St. Petersburg, Russia",
"St. Pierre de la Reunion, Reunion",ZSE,ZSE,"St. Pierre de la Reunion, Reunion",
"St. Thomas Island, U.S. Virgin Islands",STT,STT,"St. Thomas Island, U.S. Virgin Islands",
"State College/University Park, PA",SCE,SCE,"State College/University Park, PA",
"Staunton, VA",SHD,SHD,"Staunton, VA",
"Stavanger, Norway",SVG,SVG,"Stavanger, Norway",
"Stavropol, Russia",STW,STW,"Stavropol, Russia",
"Ste Therese Point, MB",YST,YST,"Ste Therese Point, MB",
"Steamboat Springs, CO",SBS,SBS,"Steamboat Springs, CO",
"Stebbins, AK",WBB,WBB,"Stebbins, AK",
"Stella Maris, Bahamas",SML,SML,"Stella Maris, Bahamas",
"Stephenville, NL",YJT,YJT,"Stephenville, NL",
"Stevens Point/Wausau, WI",CWA,CWA,"Stevens Point/Wausau, WI",
"Stevens Village, AK",SVS,SVS,"Stevens Village, AK",
"Stewart Field/Newburgh, NY",SWF,SWF,"Stewart Field/Newburgh, NY",
"Stockholm, Sweden - All airports",STO,STO,"Stockholm, Sweden - All airports",
"Stockholm, Sweden - Arlanda",ARN,ARN,"Stockholm, Sweden - Arlanda",
"Stockholm, Sweden - Bromma",BMA,BMA,"Stockholm, Sweden - Bromma",
"Stockton, CA",SCK,SCK,"Stockton, CA",
"Stony Rapids, SK",YSF,YSF,"Stony Rapids, SK",
"Stony River, AK",SRV,SRV,"Stony River, AK",
"Stornoway, United Kingdom",SYY,SYY,"Stornoway, United Kingdom",
"Storuman, Sweden",SQO,SQO,"Storuman, Sweden",
"Strasbourg, France - Bus service",XER,XER,"Strasbourg, France - Bus service",
"Strasbourg, France - Entzheim",SXB,SXB,"Strasbourg, France - Entzheim",
"Strathroy, ON - Rail service",XTY,XTY,"Strathroy, ON - Rail service",
"Stronsay, United Kingdom",SOY,SOY,"Stronsay, United Kingdom",
"Stung Treng, Cambodia",TNX,TNX,"Stung Treng, Cambodia",
"Stuttgart, Germany - Echterdingen",STR,STR,"Stuttgart, Germany - Echterdingen",
"Stuttgart, Germany - Rail service",ZWS,ZWS,"Stuttgart, Germany - Rail service",
"Suavanao, Solomon Islands",VAO,VAO,"Suavanao, Solomon Islands",
"Sucre, Bolivia",SRE,SRE,"Sucre, Bolivia",
"Sudbury, ON",YSB,YSB,"Sudbury, ON",
"Sudbury, ON - Rail service",XDY,XDY,"Sudbury, ON - Rail service",
"Sue Island, QL, Australia",SYU,SYU,"Sue Island, QL, Australia",
"Sui, Pakistan",SUL,SUL,"Sui, Pakistan",
"Sukhotthai, Thailand",THS,THS,"Sukhotthai, Thailand",
"Summer Beaver, ON",SUR,SUR,"Summer Beaver, ON",
"Sun City, South Africa",NTY,NTY,"Sun City, South Africa",
"Sun Valley, ID",SUN,SUN,"Sun Valley, ID",
"Sunshine Coast, QL, Australia",MCY,MCY,"Sunshine Coast, QL, Australia",
"Surabaya, Indonesia",SUB,SUB,"Surabaya, Indonesia",
"Surat Thani, Thailand",URT,URT,"Surat Thani, Thailand",
"Suva, Fiji",SUV,SUV,"Suva, Fiji",
"Sveg, Sweden",EVG,EVG,"Sveg, Sweden",
"Svolvaer, Norway",SVJ,SVJ,"Svolvaer, Norway",
"Swan River, MB",ZJN,ZJN,"Swan River, MB",
"Sydney, New South Wales, Australia",SYD,SYD,"Sydney, New South Wales, Australia",
"Sydney, NS",YQY,YQY,"Sydney, NS",
"Sylhet, Bangladesh",ZYL,ZYL,"Sylhet, Bangladesh",
"Syracuse, NY",SYR,SYR,"Syracuse, NY",
"Szczecin, Poland",SZZ,SZZ,"Szczecin, Poland",
"Taba, Egypt",TCP,TCP,"Taba, Egypt",
"Tabarka, Tunisia",TBJ,TBJ,"Tabarka, Tunisia",
"Tabatinga, AM, Brazil",TBT,TBT,"Tabatinga, AM, Brazil",
"Tabora, Tanzania",TBO,TBO,"Tabora, Tanzania",
"Tabriz, Iran",TBZ,TBZ,"Tabriz, Iran",
"Tabubil, Papua New Guinea",TBG,TBG,"Tabubil, Papua New Guinea",
"Tabuk, Saudi Arabia",TUU,TUU,"Tabuk, Saudi Arabia",
"Tacheng, China",TCG,TCG,"Tacheng, China",
"Tachilek, Myanmar",THL,THL,"Tachilek, Myanmar",
"Tacloban, Philippines",TAC,TAC,"Tacloban, Philippines",
"Tacna, Peru",TCQ,TCQ,"Tacna, Peru",
"Tadoule Lake, MB",XTL,XTL,"Tadoule Lake, MB",
"Taichung, Taiwan",TXG,TXG,"Taichung, Taiwan",
"Taif, Saudi Arabia",TIF,TIF,"Taif, Saudi Arabia",
"Tainan, Taiwan",TNN,TNN,"Tainan, Taiwan",
"Taipei, Taiwan - Chiang Kai Shek",TPE,TPE,"Taipei, Taiwan - Chiang Kai Shek",
"Taipei, Taiwan - Sung Shan",TSA,TSA,"Taipei, Taiwan - Sung Shan",
"Taitung, Taiwan",TTT,TTT,"Taitung, Taiwan",
"Taiyuan, China",TYN,TYN,"Taiyuan, China",
"Taiz, Yemen",TAI,TAI,"Taiz, Yemen",
"Takotna, AK",TCT,TCT,"Takotna, AK",
"Talkeetna, AK",TKA,TKA,"Talkeetna, AK",
"Tallahassee, FL",TLH,TLH,"Tallahassee, FL",
"Tallinn, Estonia",TLL,TLL,"Tallinn, Estonia",
"Taloyoak, NU",YYH,YYH,"Taloyoak, NU",
"Tamanrasset, Algeria",TMR,TMR,"Tamanrasset, Algeria",
"Tamarindo, Costa Rica",TNO,TNO,"Tamarindo, Costa Rica",
"Tamatave, Madagascar",TMM,TMM,"Tamatave, Madagascar",
"Tambohorano, Madagascar",WTA,WTA,"Tambohorano, Madagascar",
"Tambolaka, Indonesia",TMC,TMC,"Tambolaka, Indonesia",
"Tambor, Costa Rica",TMU,TMU,"Tambor, Costa Rica",
